Firmware_Version=1.8;Sensor_Type=TYPE_SEABIRD_SBE37;Slot=9;SensorId=2;
DATE;TIME;TEMPERATURE;CONDUCTIVITY;PRESSION;SALINITY;SOUND SPEED;
 ; ;°C;S/m;dbars;PSU;m/sec;
17/07/2017;18:30:00;4.6207;3.38429;1721.945;34.9765;1497.636;
17/07/2017;18:45:00;4.6190;3.38417;1721.966;34.9768;1497.630;
17/07/2017;19:00:00;4.6138;3.38363;1722.078;34.9759;1497.609;
17/07/2017;19:15:00;4.6131;3.38360;1722.051;34.9763;1497.606;
17/07/2017;19:30:00;4.6198;3.38408;1722.072;34.9749;1497.632;
17/07/2017;19:45:00;4.6213;3.38427;1722.093;34.9755;1497.640;
17/07/2017;20:00:00;4.6012;3.38242;1722.115;34.9750;1497.557;
17/07/2017;20:15:00;4.6037;3.38269;1722.136;34.9756;1497.568;
17/07/2017;20:30:00;4.6090;3.38315;1722.136;34.9753;1497.590;
17/07/2017;20:45:00;4.6064;3.38276;1722.108;34.9736;1497.576;
17/07/2017;20:59:59;4.5999;3.38233;1722.093;34.9753;1497.552;
17/07/2017;21:15:00;4.6067;3.38289;1722.136;34.9748;1497.580;
17/07/2017;21:30:00;4.6166;3.38369;1722.136;34.9736;1497.619;
17/07/2017;21:45:00;4.5984;3.38215;1722.072;34.9749;1497.544;
17/07/2017;22:00:00;4.6059;3.38284;1722.072;34.9751;1497.575;
17/07/2017;22:15:00;4.6033;3.38265;1722.036;34.9755;1497.565;
17/07/2017;22:30:00;4.6074;3.38300;1722.009;34.9753;1497.581;
17/07/2017;22:45:00;4.6163;3.38378;1721.966;34.9751;1497.617;
17/07/2017;23:00:00;4.6055;3.38278;1721.966;34.9748;1497.572;
17/07/2017;23:15:00;4.5960;3.38195;1721.924;34.9752;1497.533;
17/07/2017;23:30:00;4.5751;3.37988;1721.924;34.9730;1497.444;
17/07/2017;23:45:00;4.6019;3.38241;1721.839;34.9743;1497.554;
18/07/2017;00:00:00;4.6107;3.38308;1721.860;34.9728;1497.589;
18/07/2017;00:15:00;4.6102;3.38316;1721.776;34.9744;1497.588;
18/07/2017;00:30:00;4.5856;3.38078;1721.803;34.9725;1497.484;
18/07/2017;00:45:00;4.5829;3.38042;1721.776;34.9711;1497.471;
